network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-800-m3,train,0,0,0,3,-0.02123186,0.21818383,0.06075,BA,synthetic
BA-800-m3,train,0,1,0,6,-0.019275397,0.21079929,0.16325,BA,synthetic
BA-800-m3,train,0,2,1,6,-0.01626939,0.20391415,0.15125,BA,synthetic
BA-800-m3,train,0,3,1,6,-0.011970375,0.1971728,0.170875,BA,synthetic
BA-800-m3,train,0,4,1,6,-0.0077197477,0.19050999,0.171125,BA,synthetic
BA-800-m3,train,0,5,2,6,-0.002007261,0.18374409,0.169875,BA,synthetic
BA-800-m3,train,0,6,2,6,0.0044463202,0.17704356,0.23074999999999998,BA,synthetic
BA-800-m3,train,0,7,2,6,0.011535805,0.1700055,0.202375,BA,synthetic
BA-800-m3,train,0,8,2,1,0.018869128,0.16268626,0.25337499999999996,BA,synthetic
BA-800-m3,train,0,9,2,1,0.026235245,0.1577352,0.24725000000000003,BA,synthetic
BA-800-m3,train,0,10,2,1,0.034293856,0.15287921,0.25975000000000004,BA,synthetic
BA-800-m3,train,0,11,2,1,0.043115184,0.14777322,0.30875,BA,synthetic
BA-800-m3,train,0,12,2,1,0.051974416,0.14125216,0.293625,BA,synthetic
BA-800-m3,train,0,13,2,1,0.060569268,0.13399357,0.2875,BA,synthetic
BA-800-m3,train,0,14,2,1,0.06939405,0.1263016,0.29325,BA,synthetic
BA-800-m3,train,0,15,2,1,0.07884298,0.11892742,0.30662500000000004,BA,synthetic
BA-800-m3,train,0,16,2,1,0.08945021,0.11160123,0.28037500000000004,BA,synthetic
BA-800-m3,train,0,17,2,1,0.10019818,0.102965765,0.306125,BA,synthetic
BA-800-m3,train,0,18,2,1,0.11111965,0.08960605,0.3175,BA,synthetic
BA-800-m3,train,0,19,2,1,0.12221665,0.07062388,0.329125,BA,synthetic
BA-800-m3,train,0,20,6,1,0.13297102,0.048496854,0.33125,BA,synthetic
BA-800-m3,train,0,21,6,2,0.14533994,0.022762118,0.321625,BA,synthetic
BA-800-m3,train,0,22,6,2,0.1578112,-0.0071825907,0.314,BA,synthetic
BA-800-m3,train,0,23,1,2,0.17201187,-0.039943747,0.332,BA,synthetic
BA-800-m3,train,0,24,3,2,0.19095539,-0.07446514,0.33725,BA,synthetic
BA-800-m3,train,0,25,3,1,0.21726328,-0.11002919,0.34612499999999996,BA,synthetic
BA-800-m3,train,0,26,3,1,0.24426115,-0.14578085,0.34887500000000005,BA,synthetic
BA-800-m3,train,0,27,3,1,0.2712303,-0.1804792,0.3715,BA,synthetic
BA-800-m3,train,0,28,3,1,0.29746282,-0.21085209,0.34287500000000004,BA,synthetic
BA-800-m3,train,0,29,3,1,0.3230607,-0.23321146,0.347625,BA,synthetic
BA-800-m3,train,1,0,0,3,-0.021231867,0.2181838,0.073,BA,synthetic
BA-800-m3,train,1,1,0,6,-0.01927539,0.2107993,0.15387499999999998,BA,synthetic
BA-800-m3,train,1,2,1,6,-0.01626939,0.20391414,0.17962499999999998,BA,synthetic
BA-800-m3,train,1,3,1,6,-0.011970375,0.19717279,0.162125,BA,synthetic
BA-800-m3,train,1,4,1,6,-0.0077197477,0.19050997,0.180625,BA,synthetic
BA-800-m3,train,1,5,2,6,-0.0020072535,0.18374409,0.19824999999999998,BA,synthetic
BA-800-m3,train,1,6,2,6,0.0044463202,0.17704356,0.198625,BA,synthetic
BA-800-m3,train,1,7,2,6,0.011535794,0.17000549,0.235125,BA,synthetic
BA-800-m3,train,1,8,2,1,0.01886912,0.16268626,0.22912500000000002,BA,synthetic
BA-800-m3,train,1,9,2,1,0.026235241,0.1577352,0.2615,BA,synthetic
BA-800-m3,train,1,10,2,1,0.034293856,0.15287921,0.244375,BA,synthetic
BA-800-m3,train,1,11,2,1,0.043115184,0.14777322,0.244,BA,synthetic
BA-800-m3,train,1,12,2,1,0.051974423,0.14125216,0.257125,BA,synthetic
BA-800-m3,train,1,13,2,1,0.06056927,0.13399357,0.27175,BA,synthetic
BA-800-m3,train,1,14,2,1,0.06939405,0.1263016,0.31225,BA,synthetic
BA-800-m3,train,1,15,2,1,0.07884299,0.118927434,0.32587499999999997,BA,synthetic
BA-800-m3,train,1,16,2,1,0.08945021,0.111601226,0.291125,BA,synthetic
BA-800-m3,train,1,17,2,1,0.10019818,0.10296576,0.3155,BA,synthetic
BA-800-m3,train,1,18,2,1,0.11111966,0.089606054,0.317,BA,synthetic
BA-800-m3,train,1,19,2,1,0.12221667,0.07062388,0.34299999999999997,BA,synthetic
BA-800-m3,train,1,20,6,1,0.13297102,0.048496835,0.326125,BA,synthetic
BA-800-m3,train,1,21,6,2,0.14533994,0.022762137,0.322,BA,synthetic
BA-800-m3,train,1,22,6,2,0.1578112,-0.0071825907,0.33549999999999996,BA,synthetic
BA-800-m3,train,1,23,1,2,0.17201187,-0.03994374,0.337,BA,synthetic
BA-800-m3,train,1,24,3,2,0.19095539,-0.074465126,0.32325000000000004,BA,synthetic
BA-800-m3,train,1,25,3,1,0.21726325,-0.110029176,0.319375,BA,synthetic
BA-800-m3,train,1,26,3,1,0.24426112,-0.14578086,0.35625,BA,synthetic
BA-800-m3,train,1,27,3,1,0.27123034,-0.1804792,0.350375,BA,synthetic
BA-800-m3,train,1,28,3,1,0.29746282,-0.21085209,0.33399999999999996,BA,synthetic
BA-800-m3,train,1,29,3,1,0.32306072,-0.23321143,0.34850000000000003,BA,synthetic
BA-800-m3,train,2,0,0,3,-0.021231864,0.21818383,0.071875,BA,synthetic
BA-800-m3,train,2,1,0,6,-0.019275397,0.21079929,0.14725,BA,synthetic
BA-800-m3,train,2,2,1,6,-0.01626939,0.20391415,0.20337499999999997,BA,synthetic
BA-800-m3,train,2,3,1,6,-0.011970367,0.19717278,0.18712499999999999,BA,synthetic
BA-800-m3,train,2,4,1,6,-0.0077197477,0.19050997,0.176875,BA,synthetic
BA-800-m3,train,2,5,2,6,-0.0020072535,0.18374409,0.185375,BA,synthetic
BA-800-m3,train,2,6,2,6,0.004446313,0.17704354,0.21175,BA,synthetic
BA-800-m3,train,2,7,2,6,0.011535801,0.17000552,0.22524999999999998,BA,synthetic
BA-800-m3,train,2,8,2,1,0.018869128,0.16268626,0.23375,BA,synthetic
BA-800-m3,train,2,9,2,1,0.026235241,0.1577352,0.269125,BA,synthetic
BA-800-m3,train,2,10,2,1,0.034293853,0.15287921,0.25887499999999997,BA,synthetic
BA-800-m3,train,2,11,2,1,0.043115176,0.14777324,0.279375,BA,synthetic
BA-800-m3,train,2,12,2,1,0.05197442,0.14125216,0.297375,BA,synthetic
BA-800-m3,train,2,13,2,1,0.060569268,0.13399357,0.30274999999999996,BA,synthetic
BA-800-m3,train,2,14,2,1,0.069394045,0.12630162,0.297375,BA,synthetic
BA-800-m3,train,2,15,2,1,0.07884298,0.11892743,0.31725000000000003,BA,synthetic
BA-800-m3,train,2,16,2,1,0.08945022,0.11160124,0.321875,BA,synthetic
BA-800-m3,train,2,17,2,1,0.10019818,0.10296575,0.311875,BA,synthetic
BA-800-m3,train,2,18,2,1,0.11111966,0.08960605,0.30725,BA,synthetic
BA-800-m3,train,2,19,2,1,0.122216664,0.070623875,0.314375,BA,synthetic
BA-800-m3,train,2,20,6,1,0.13297102,0.048496846,0.33112499999999995,BA,synthetic
BA-800-m3,train,2,21,6,2,0.14533994,0.022762135,0.325,BA,synthetic
BA-800-m3,train,2,22,6,2,0.1578112,-0.0071826056,0.34,BA,synthetic
BA-800-m3,train,2,23,1,2,0.17201187,-0.03994374,0.34637500000000004,BA,synthetic
BA-800-m3,train,2,24,3,2,0.1909554,-0.074465126,0.34950000000000003,BA,synthetic
BA-800-m3,train,2,25,3,1,0.2172633,-0.110029176,0.34037500000000004,BA,synthetic
BA-800-m3,train,2,26,3,1,0.24426113,-0.14578086,0.33787500000000004,BA,synthetic
BA-800-m3,train,2,27,3,1,0.2712303,-0.18047923,0.34525,BA,synthetic
BA-800-m3,train,2,28,3,1,0.29746282,-0.21085206,0.34387500000000004,BA,synthetic
BA-800-m3,train,2,29,3,1,0.32306066,-0.23321149,0.3385,BA,synthetic
BA-800-m3,train,3,0,0,3,-0.02123186,0.21818383,0.0965,BA,synthetic
BA-800-m3,train,3,1,0,6,-0.019275397,0.21079929,0.138,BA,synthetic
BA-800-m3,train,3,2,1,6,-0.01626939,0.20391415,0.19487500000000002,BA,synthetic
BA-800-m3,train,3,3,1,6,-0.011970371,0.19717279,0.192,BA,synthetic
BA-800-m3,train,3,4,1,6,-0.0077197514,0.19050997,0.14775,BA,synthetic
BA-800-m3,train,3,5,2,6,-0.002007261,0.18374407,0.195125,BA,synthetic
BA-800-m3,train,3,6,2,6,0.0044463202,0.17704356,0.19774999999999998,BA,synthetic
BA-800-m3,train,3,7,2,6,0.011535797,0.1700055,0.227375,BA,synthetic
BA-800-m3,train,3,8,2,1,0.018869132,0.16268626,0.20149999999999998,BA,synthetic
BA-800-m3,train,3,9,2,1,0.026235245,0.1577352,0.24325,BA,synthetic
BA-800-m3,train,3,10,2,1,0.03429386,0.15287922,0.240125,BA,synthetic
BA-800-m3,train,3,11,2,1,0.043115184,0.14777322,0.265375,BA,synthetic
BA-800-m3,train,3,12,2,1,0.051974416,0.14125216,0.293875,BA,synthetic
BA-800-m3,train,3,13,2,1,0.06056927,0.13399357,0.276875,BA,synthetic
BA-800-m3,train,3,14,2,1,0.069394045,0.1263016,0.2645,BA,synthetic
BA-800-m3,train,3,15,2,1,0.07884298,0.11892742,0.296625,BA,synthetic
BA-800-m3,train,3,16,2,1,0.08945021,0.11160123,0.324,BA,synthetic
BA-800-m3,train,3,17,2,1,0.10019818,0.10296575,0.327125,BA,synthetic
BA-800-m3,train,3,18,2,1,0.11111966,0.08960603,0.32875,BA,synthetic
BA-800-m3,train,3,19,2,1,0.122216664,0.07062388,0.33799999999999997,BA,synthetic
BA-800-m3,train,3,20,6,1,0.13297102,0.048496842,0.35,BA,synthetic
BA-800-m3,train,3,21,6,2,0.14533997,0.022762137,0.34612499999999996,BA,synthetic
BA-800-m3,train,3,22,6,2,0.1578112,-0.0071825907,0.332125,BA,synthetic
BA-800-m3,train,3,23,1,2,0.17201187,-0.039943755,0.34225,BA,synthetic
BA-800-m3,train,3,24,3,2,0.1909554,-0.074465126,0.35075,BA,synthetic
BA-800-m3,train,3,25,3,1,0.2172633,-0.11002919,0.350875,BA,synthetic
BA-800-m3,train,3,26,3,1,0.24426115,-0.14578083,0.322125,BA,synthetic
BA-800-m3,train,3,27,3,1,0.27123037,-0.18047924,0.353,BA,synthetic
BA-800-m3,train,3,28,3,1,0.29746285,-0.21085212,0.328375,BA,synthetic
BA-800-m3,train,3,29,3,1,0.32306066,-0.23321146,0.3395,BA,synthetic
BA-800-m3,train,4,0,0,3,-0.021231867,0.21818377,0.12362500000000001,BA,synthetic
BA-800-m3,train,4,1,0,6,-0.01927539,0.21079929,0.14575,BA,synthetic
BA-800-m3,train,4,2,1,6,-0.016269386,0.20391415,0.15225,BA,synthetic
BA-800-m3,train,4,3,1,6,-0.011970375,0.19717279,0.22175,BA,synthetic
BA-800-m3,train,4,4,1,6,-0.007719744,0.19050997,0.20475000000000002,BA,synthetic
BA-800-m3,train,4,5,2,6,-0.0020072535,0.18374409,0.18475000000000003,BA,synthetic
BA-800-m3,train,4,6,2,6,0.0044463202,0.17704356,0.1865,BA,synthetic
BA-800-m3,train,4,7,2,6,0.011535794,0.17000552,0.18025,BA,synthetic
BA-800-m3,train,4,8,2,1,0.018869128,0.16268626,0.21850000000000003,BA,synthetic
BA-800-m3,train,4,9,2,1,0.026235238,0.1577352,0.24337499999999998,BA,synthetic
BA-800-m3,train,4,10,2,1,0.034293856,0.15287921,0.251125,BA,synthetic
BA-800-m3,train,4,11,2,1,0.043115176,0.14777322,0.261125,BA,synthetic
BA-800-m3,train,4,12,2,1,0.051974423,0.14125216,0.282,BA,synthetic
BA-800-m3,train,4,13,2,1,0.060569268,0.13399357,0.29512499999999997,BA,synthetic
BA-800-m3,train,4,14,2,1,0.06939404,0.1263016,0.28800000000000003,BA,synthetic
BA-800-m3,train,4,15,2,1,0.07884298,0.11892742,0.3055,BA,synthetic
BA-800-m3,train,4,16,2,1,0.08945021,0.11160123,0.303,BA,synthetic
BA-800-m3,train,4,17,2,1,0.10019817,0.10296576,0.3265,BA,synthetic
BA-800-m3,train,4,18,2,1,0.11111966,0.08960605,0.32587499999999997,BA,synthetic
BA-800-m3,train,4,19,2,1,0.12221666,0.07062389,0.311375,BA,synthetic
BA-800-m3,train,4,20,6,1,0.13297102,0.048496842,0.364375,BA,synthetic
BA-800-m3,train,4,21,6,2,0.14533994,0.022762118,0.34424999999999994,BA,synthetic
BA-800-m3,train,4,22,6,2,0.1578112,-0.0071825795,0.32862499999999994,BA,synthetic
BA-800-m3,train,4,23,1,2,0.17201187,-0.039943762,0.35025,BA,synthetic
BA-800-m3,train,4,24,3,2,0.19095537,-0.074465126,0.32425,BA,synthetic
BA-800-m3,train,4,25,3,1,0.21726328,-0.110029176,0.32925,BA,synthetic
BA-800-m3,train,4,26,3,1,0.24426113,-0.14578086,0.33037500000000003,BA,synthetic
BA-800-m3,train,4,27,3,1,0.2712303,-0.1804792,0.33362499999999995,BA,synthetic
BA-800-m3,train,4,28,3,1,0.29746282,-0.21085209,0.339375,BA,synthetic
BA-800-m3,train,4,29,3,1,0.3230607,-0.23321149,0.35674999999999996,BA,synthetic
BA-850-m4,train,0,0,0,3,-0.021224938,0.21818386,0.09705882352941177,BA,synthetic
BA-850-m4,train,0,1,0,6,-0.019197825,0.21095675,0.14882352941176472,BA,synthetic
BA-850-m4,train,0,2,1,6,-0.016130645,0.2044014,0.16176470588235295,BA,synthetic
BA-850-m4,train,0,3,1,6,-0.011890978,0.19768868,0.19494117647058823,BA,synthetic
BA-850-m4,train,0,4,1,6,-0.0075710975,0.1909381,0.23058823529411765,BA,synthetic
BA-850-m4,train,0,5,2,6,-0.0020319521,0.1842966,0.26329411764705885,BA,synthetic
BA-850-m4,train,0,6,2,6,0.0043975487,0.17752255,0.24741176470588236,BA,synthetic
BA-850-m4,train,0,7,2,6,0.011497453,0.17056791,0.27494117647058824,BA,synthetic
BA-850-m4,train,0,8,2,1,0.018815842,0.16324615,0.2575294117647059,BA,synthetic
BA-850-m4,train,0,9,2,1,0.026198696,0.15827106,0.27682352941176475,BA,synthetic
BA-850-m4,train,0,10,2,1,0.034276105,0.15334469,0.31141176470588233,BA,synthetic
BA-850-m4,train,0,11,2,1,0.0430898,0.14816499,0.2988235294117647,BA,synthetic
BA-850-m4,train,0,12,2,1,0.05192232,0.14169501,0.3138823529411765,BA,synthetic
BA-850-m4,train,0,13,2,1,0.060519848,0.13454717,0.35105882352941176,BA,synthetic
BA-850-m4,train,0,14,2,1,0.069359586,0.1267921,0.3478823529411765,BA,synthetic
BA-850-m4,train,0,15,2,1,0.07879398,0.11941957,0.33647058823529413,BA,synthetic
BA-850-m4,train,0,16,2,1,0.089428365,0.11211401,0.3396470588235294,BA,synthetic
BA-850-m4,train,0,17,2,1,0.10017318,0.10357064,0.34941176470588237,BA,synthetic
BA-850-m4,train,0,18,2,1,0.11108997,0.09035373,0.3629411764705882,BA,synthetic
BA-850-m4,train,0,19,2,1,0.122204065,0.07129357,0.3830588235294118,BA,synthetic
