network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-800-m3,train,0,0,1,5,-4.7683816,4.929553,0.00125,BA,synthetic
BA-800-m3,train,0,1,1,5,-4.60377,4.7503705,0.007625,BA,synthetic
BA-800-m3,train,0,2,1,5,-4.439198,4.571452,0.009875,BA,synthetic
BA-800-m3,train,0,3,1,5,-4.2761927,4.394678,0.015125,BA,synthetic
BA-800-m3,train,0,4,1,5,-4.1123066,4.217376,0.011000000000000001,BA,synthetic
BA-800-m3,train,0,5,1,5,-3.955425,4.0492754,0.01225,BA,synthetic
BA-800-m3,train,0,6,1,5,-3.7997954,3.882607,0.014750000000000001,BA,synthetic
BA-800-m3,train,0,7,1,5,-3.6411014,3.7127168,0.027999999999999997,BA,synthetic
BA-800-m3,train,0,8,1,2,-3.4640818,3.5482647,0.048499999999999995,BA,synthetic
BA-800-m3,train,0,9,1,2,-3.2938323,3.367358,0.050499999999999996,BA,synthetic
BA-800-m3,train,0,10,1,2,-3.121317,3.1897078,0.084,BA,synthetic
BA-800-m3,train,0,11,1,2,-2.9491432,3.010907,0.099875,BA,synthetic
BA-800-m3,train,0,12,1,2,-2.779694,2.8370492,0.100875,BA,synthetic
BA-800-m3,train,0,13,1,2,-2.6102912,2.6625931,0.1,BA,synthetic
BA-800-m3,train,0,14,1,2,-2.4420168,2.4870632,0.112125,BA,synthetic
BA-800-m3,train,0,15,1,2,-2.2664418,2.304065,0.122625,BA,synthetic
BA-800-m3,train,0,16,1,2,-2.0734239,2.1015046,0.14775,BA,synthetic
BA-800-m3,train,0,17,1,2,-1.863412,1.8777637,0.130375,BA,synthetic
BA-800-m3,train,0,18,1,2,-1.6019537,1.6143379,0.154375,BA,synthetic
BA-800-m3,train,0,19,1,2,-1.2847235,1.2913787,0.171375,BA,synthetic
BA-800-m3,train,0,20,1,2,-0.95749927,0.9597492,0.145375,BA,synthetic
BA-800-m3,train,0,21,4,2,-0.6207206,0.62069434,0.16975,BA,synthetic
BA-800-m3,train,0,22,4,2,-0.30037224,0.2986577,0.180625,BA,synthetic
BA-800-m3,train,0,23,4,2,0.024367988,-0.017123193,0.178125,BA,synthetic
BA-800-m3,train,0,24,4,1,0.34795722,-0.31719884,0.180375,BA,synthetic
BA-800-m3,train,0,25,4,1,0.5819292,-0.5358473,0.175,BA,synthetic
BA-800-m3,train,0,26,1,1,0.6484107,-0.59829944,0.1765,BA,synthetic
BA-800-m3,train,0,27,1,1,0.7135798,-0.6483405,0.198125,BA,synthetic
BA-800-m3,train,0,28,1,5,0.76579535,-0.68997955,0.2165,BA,synthetic
BA-800-m3,train,0,29,1,5,0.81433743,-0.72525036,0.21075,BA,synthetic
BA-800-m3,train,1,0,1,5,-4.7683816,4.929553,0.00125,BA,synthetic
BA-800-m3,train,1,1,1,5,-4.60377,4.7503705,0.013500000000000002,BA,synthetic
BA-800-m3,train,1,2,1,5,-4.4391985,4.571452,0.018000000000000002,BA,synthetic
BA-800-m3,train,1,3,1,5,-4.276192,4.3946786,0.009375,BA,synthetic
BA-800-m3,train,1,4,1,5,-4.1123066,4.2173767,0.0105,BA,synthetic
BA-800-m3,train,1,5,1,5,-3.9554255,4.0492754,0.015,BA,synthetic
BA-800-m3,train,1,6,1,5,-3.7997954,3.882607,0.013875,BA,synthetic
BA-800-m3,train,1,7,1,5,-3.6411018,3.7127168,0.019125,BA,synthetic
BA-800-m3,train,1,8,1,2,-3.4640818,3.5482647,0.034375,BA,synthetic
BA-800-m3,train,1,9,1,2,-3.2938325,3.3673577,0.078,BA,synthetic
BA-800-m3,train,1,10,1,2,-3.1213174,3.189708,0.09425,BA,synthetic
BA-800-m3,train,1,11,1,2,-2.9491432,3.010907,0.10475,BA,synthetic
BA-800-m3,train,1,12,1,2,-2.779694,2.8370492,0.1005,BA,synthetic
BA-800-m3,train,1,13,1,2,-2.6102915,2.662593,0.133875,BA,synthetic
BA-800-m3,train,1,14,1,2,-2.4420168,2.4870632,0.11387499999999999,BA,synthetic
BA-800-m3,train,1,15,1,2,-2.2664418,2.3040648,0.120375,BA,synthetic
BA-800-m3,train,1,16,1,2,-2.0734239,2.1015046,0.136,BA,synthetic
BA-800-m3,train,1,17,1,2,-1.863412,1.8777637,0.137625,BA,synthetic
BA-800-m3,train,1,18,1,2,-1.6019539,1.6143379,0.141625,BA,synthetic
BA-800-m3,train,1,19,1,2,-1.2847235,1.2913787,0.13675,BA,synthetic
BA-800-m3,train,1,20,1,2,-0.957499,0.95974934,0.15525,BA,synthetic
BA-800-m3,train,1,21,4,2,-0.6207205,0.62069446,0.177875,BA,synthetic
BA-800-m3,train,1,22,4,2,-0.30037224,0.29865766,0.16949999999999998,BA,synthetic
BA-800-m3,train,1,23,4,2,0.024368025,-0.017123193,0.1745,BA,synthetic
BA-800-m3,train,1,24,4,1,0.3479573,-0.31719878,0.1845,BA,synthetic
BA-800-m3,train,1,25,4,1,0.5819292,-0.5358474,0.19375,BA,synthetic
BA-800-m3,train,1,26,1,1,0.64841074,-0.59829956,0.193,BA,synthetic
BA-800-m3,train,1,27,1,1,0.7135798,-0.6483405,0.196125,BA,synthetic
BA-800-m3,train,1,28,1,5,0.7657953,-0.6899797,0.20462499999999997,BA,synthetic
BA-800-m3,train,1,29,1,5,0.81433743,-0.72525036,0.19112500000000002,BA,synthetic
BA-800-m3,train,2,0,1,5,-4.7683816,4.929553,0.005375,BA,synthetic
BA-800-m3,train,2,1,1,5,-4.60377,4.750371,0.0025,BA,synthetic
