network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-800-m3,train,2,1,3,3,-1.1603732,0.28410655,0.11837500000000001,BA,synthetic
BA-800-m3,train,2,2,3,3,-1.1138303,0.2732789,0.20675000000000002,BA,synthetic
BA-800-m3,train,2,3,3,3,-1.0699763,0.2627994,0.19237500000000002,BA,synthetic
BA-800-m3,train,2,4,3,3,-1.027211,0.2521678,0.21525,BA,synthetic
BA-800-m3,train,2,5,3,3,-0.9852016,0.2414608,0.2605,BA,synthetic
BA-800-m3,train,2,6,3,3,-0.9436047,0.23065987,0.261875,BA,synthetic
BA-800-m3,train,2,7,3,3,-0.9027411,0.22008336,0.266875,BA,synthetic
BA-800-m3,train,2,8,2,3,-0.8615816,0.20976321,0.288625,BA,synthetic
BA-800-m3,train,2,9,2,3,-0.8191855,0.19871345,0.26775,BA,synthetic
BA-800-m3,train,2,10,2,3,-0.77735424,0.18753581,0.282875,BA,synthetic
BA-800-m3,train,2,11,2,3,-0.7356246,0.17609783,0.30362500000000003,BA,synthetic
BA-800-m3,train,2,12,2,2,-0.6932832,0.16565992,0.305125,BA,synthetic
BA-800-m3,train,2,13,2,2,-0.6513928,0.157207,0.30412500000000003,BA,synthetic
BA-800-m3,train,2,14,2,2,-0.60902554,0.14815499,0.305375,BA,synthetic
BA-800-m3,train,2,15,2,2,-0.5633917,0.1374456,0.306875,BA,synthetic
BA-800-m3,train,2,16,2,1,-0.5143399,0.1294106,0.350125,BA,synthetic
BA-800-m3,train,2,17,2,1,-0.4596791,0.11953139,0.33275,BA,synthetic
BA-800-m3,train,2,18,2,1,-0.39172262,0.10846546,0.346625,BA,synthetic
BA-800-m3,train,2,19,2,1,-0.3128769,0.09044753,0.348125,BA,synthetic
BA-800-m3,train,2,20,2,1,-0.22728254,0.06575358,0.360875,BA,synthetic
BA-800-m3,train,2,21,2,1,-0.13426289,0.03582304,0.36987499999999995,BA,synthetic
BA-800-m3,train,2,22,0,1,-0.032893535,0.0024777576,0.34450000000000003,BA,synthetic
BA-800-m3,train,2,23,0,1,0.082145035,-0.03181625,0.37487499999999996,BA,synthetic
BA-800-m3,train,2,24,0,1,0.19709915,-0.066966556,0.370375,BA,synthetic
BA-800-m3,train,2,25,0,1,0.3087319,-0.1017785,0.35775,BA,synthetic
BA-800-m3,train,2,26,0,1,0.3674616,-0.13659924,0.36662500000000003,BA,synthetic
BA-800-m3,train,2,27,0,1,0.39282185,-0.16828927,0.385375,BA,synthetic
BA-800-m3,train,2,28,0,1,0.4133711,-0.1904782,0.363375,BA,synthetic
BA-800-m3,train,2,29,0,1,0.4329114,-0.20651737,0.392125,BA,synthetic
BA-800-m3,train,3,0,3,3,-1.2094923,0.29536766,0.094375,BA,synthetic
BA-800-m3,train,3,1,3,3,-1.1603732,0.28410655,0.136125,BA,synthetic
BA-800-m3,train,3,2,3,3,-1.1138303,0.2732789,0.16225,BA,synthetic
BA-800-m3,train,3,3,3,3,-1.0699763,0.2627994,0.19125,BA,synthetic
BA-800-m3,train,3,4,3,3,-1.027211,0.2521678,0.20175,BA,synthetic
BA-800-m3,train,3,5,3,3,-0.9852016,0.24146076,0.25625,BA,synthetic
BA-800-m3,train,3,6,3,3,-0.94360477,0.23065987,0.251625,BA,synthetic
BA-800-m3,train,3,7,3,3,-0.90274096,0.22008331,0.26899999999999996,BA,synthetic
BA-800-m3,train,3,8,2,3,-0.86158174,0.2097632,0.264625,BA,synthetic
BA-800-m3,train,3,9,2,3,-0.8191855,0.19871347,0.304375,BA,synthetic
BA-800-m3,train,3,10,2,3,-0.7773541,0.1875358,0.29512499999999997,BA,synthetic
BA-800-m3,train,3,11,2,3,-0.7356246,0.17609781,0.29275,BA,synthetic
BA-800-m3,train,3,12,2,2,-0.69328314,0.16565993,0.305125,BA,synthetic
BA-800-m3,train,3,13,2,2,-0.6513928,0.157207,0.302,BA,synthetic
BA-800-m3,train,3,14,2,2,-0.60902554,0.148155,0.297625,BA,synthetic
BA-800-m3,train,3,15,2,2,-0.5633916,0.1374456,0.309625,BA,synthetic
BA-800-m3,train,3,16,2,1,-0.5143399,0.1294106,0.314625,BA,synthetic
BA-800-m3,train,3,17,2,1,-0.4596791,0.11953141,0.318875,BA,synthetic
BA-800-m3,train,3,18,2,1,-0.3917226,0.10846546,0.35112499999999996,BA,synthetic
BA-800-m3,train,3,19,2,1,-0.3128769,0.09044754,0.33549999999999996,BA,synthetic
BA-800-m3,train,3,20,2,1,-0.22728257,0.06575358,0.3565,BA,synthetic
BA-800-m3,train,3,21,2,1,-0.13426286,0.035823032,0.38075000000000003,BA,synthetic
BA-800-m3,train,3,22,0,1,-0.032893535,0.00247778,0.370625,BA,synthetic
BA-800-m3,train,3,23,0,1,0.082145035,-0.031816237,0.35424999999999995,BA,synthetic
BA-800-m3,train,3,24,0,1,0.19709912,-0.066966586,0.363125,BA,synthetic
BA-800-m3,train,3,25,0,1,0.3087319,-0.101778515,0.373,BA,synthetic
BA-800-m3,train,3,26,0,1,0.3674616,-0.13659924,0.368625,BA,synthetic
BA-800-m3,train,3,27,0,1,0.39282185,-0.16828924,0.3675,BA,synthetic
BA-800-m3,train,3,28,0,1,0.4133711,-0.19047818,0.37875,BA,synthetic
BA-800-m3,train,3,29,0,1,0.43291146,-0.2065174,0.377875,BA,synthetic
BA-800-m3,train,4,0,3,3,-1.2094924,0.29536766,0.114875,BA,synthetic
BA-800-m3,train,4,1,3,3,-1.1603732,0.28410658,0.11725,BA,synthetic
BA-800-m3,train,4,2,3,3,-1.1138303,0.2732789,0.172625,BA,synthetic
BA-800-m3,train,4,3,3,3,-1.0699763,0.26279944,0.19237500000000002,BA,synthetic
BA-800-m3,train,4,4,3,3,-1.027211,0.25216782,0.23024999999999998,BA,synthetic
BA-800-m3,train,4,5,3,3,-0.9852016,0.24146076,0.231875,BA,synthetic
BA-800-m3,train,4,6,3,3,-0.94360477,0.23065986,0.228,BA,synthetic
BA-800-m3,train,4,7,3,3,-0.90274096,0.22008334,0.2565,BA,synthetic
BA-800-m3,train,4,8,2,3,-0.86158156,0.2097632,0.283375,BA,synthetic
BA-800-m3,train,4,9,2,3,-0.8191855,0.19871345,0.30125,BA,synthetic
BA-800-m3,train,4,10,2,3,-0.7773541,0.18753581,0.284375,BA,synthetic
BA-800-m3,train,4,11,2,3,-0.7356246,0.17609784,0.30175,BA,synthetic
BA-800-m3,train,4,12,2,2,-0.6932832,0.16565993,0.313,BA,synthetic
BA-800-m3,train,4,13,2,2,-0.65139276,0.15720698,0.319375,BA,synthetic
BA-800-m3,train,4,14,2,2,-0.6090255,0.14815497,0.309625,BA,synthetic
BA-800-m3,train,4,15,2,2,-0.5633917,0.1374456,0.34037500000000004,BA,synthetic
BA-800-m3,train,4,16,2,1,-0.5143399,0.12941058,0.3265,BA,synthetic
BA-800-m3,train,4,17,2,1,-0.4596791,0.1195314,0.34125,BA,synthetic
BA-800-m3,train,4,18,2,1,-0.39172256,0.10846546,0.33799999999999997,BA,synthetic
BA-800-m3,train,4,19,2,1,-0.3128769,0.090447545,0.33275,BA,synthetic
BA-800-m3,train,4,20,2,1,-0.22728257,0.06575358,0.351625,BA,synthetic
BA-800-m3,train,4,21,2,1,-0.13426287,0.035823055,0.32875,BA,synthetic
BA-800-m3,train,4,22,0,1,-0.032893497,0.00247778,0.350625,BA,synthetic
BA-800-m3,train,4,23,0,1,0.08214502,-0.03181623,0.36162500000000003,BA,synthetic
BA-800-m3,train,4,24,0,1,0.19709913,-0.066966556,0.37925,BA,synthetic
BA-800-m3,train,4,25,0,1,0.30873188,-0.1017785,0.372125,BA,synthetic
BA-800-m3,train,4,26,0,1,0.3674616,-0.13659924,0.3635,BA,synthetic
BA-800-m3,train,4,27,0,1,0.39282185,-0.16828927,0.397375,BA,synthetic
BA-800-m3,train,4,28,0,1,0.41337115,-0.1904782,0.3655,BA,synthetic
BA-800-m3,train,4,29,0,1,0.43291146,-0.2065174,0.37200000000000005,BA,synthetic
BA-850-m4,train,0,0,3,3,-1.2098744,0.29536772,0.11,BA,synthetic
BA-850-m4,train,0,1,3,3,-1.164155,0.28437948,0.14658823529411763,BA,synthetic
BA-850-m4,train,0,2,3,3,-1.1202961,0.2741947,0.2511764705882353,BA,synthetic
BA-850-m4,train,0,3,3,3,-1.0770277,0.26384178,0.26635294117647057,BA,synthetic
BA-850-m4,train,0,4,3,3,-1.0340685,0.2532753,0.19541176470588234,BA,synthetic
BA-850-m4,train,0,5,3,3,-0.99245733,0.24249145,0.2723529411764706,BA,synthetic
BA-850-m4,train,0,6,3,3,-0.95136935,0.23189603,0.2572941176470588,BA,synthetic
BA-850-m4,train,0,7,3,3,-0.9102117,0.22125396,0.2812941176470588,BA,synthetic
BA-850-m4,train,0,8,2,3,-0.86840445,0.21081817,0.2991764705882353,BA,synthetic
BA-850-m4,train,0,9,2,3,-0.8257574,0.19981313,0.3337647058823529,BA,synthetic
BA-850-m4,train,0,10,2,3,-0.7831383,0.18848144,0.3138823529411765,BA,synthetic
BA-850-m4,train,0,11,2,3,-0.7408011,0.17690167,0.3081176470588235,BA,synthetic
BA-850-m4,train,0,12,2,2,-0.69926023,0.16635868,0.3215294117647059,BA,synthetic
BA-850-m4,train,0,13,2,2,-0.6571887,0.15803784,0.3365882352941177,BA,synthetic
BA-850-m4,train,0,14,2,2,-0.6152107,0.14913224,0.3488235294117647,BA,synthetic
BA-850-m4,train,0,15,2,2,-0.56868243,0.1383363,0.3404705882352941,BA,synthetic
BA-850-m4,train,0,16,2,1,-0.5190107,0.12980194,0.3428235294117647,BA,synthetic
BA-850-m4,train,0,17,2,1,-0.4630361,0.11983183,0.3558823529411765,BA,synthetic
BA-850-m4,train,0,18,2,1,-0.3954951,0.10876373,0.3749411764705882,BA,synthetic
BA-850-m4,train,0,19,2,1,-0.31561506,0.090832815,0.35,BA,synthetic
BA-850-m4,train,0,20,2,1,-0.2288615,0.06581153,0.3645882352941176,BA,synthetic
BA-850-m4,train,0,21,2,1,-0.13664143,0.036125895,0.39741176470588235,BA,synthetic
BA-850-m4,train,0,22,0,1,-0.034512598,0.0026330054,0.3915294117647059,BA,synthetic
BA-850-m4,train,0,23,0,1,0.080149814,-0.03173697,0.374,BA,synthetic
BA-850-m4,train,0,24,0,1,0.19527912,-0.06677065,0.3729411764705882,BA,synthetic
BA-850-m4,train,0,25,0,1,0.3073089,-0.101758875,0.37870588235294117,BA,synthetic
BA-850-m4,train,0,26,0,1,0.36729515,-0.13651419,0.3956470588235294,BA,synthetic
BA-850-m4,train,0,27,0,1,0.39280674,-0.16809061,0.35823529411764704,BA,synthetic
BA-850-m4,train,0,28,0,1,0.41339985,-0.19030455,0.3783529411764706,BA,synthetic
BA-850-m4,train,0,29,0,1,0.432929,-0.20637554,0.37588235294117645,BA,synthetic
BA-850-m4,train,1,0,3,3,-1.2098744,0.29536772,0.08752941176470588,BA,synthetic
BA-850-m4,train,1,1,3,3,-1.1641551,0.28437948,0.18788235294117644,BA,synthetic
BA-850-m4,train,1,2,3,3,-1.1202961,0.2741947,0.1628235294117647,BA,synthetic
BA-850-m4,train,1,3,3,3,-1.0770278,0.26384178,0.24494117647058822,BA,synthetic
BA-850-m4,train,1,4,3,3,-1.0340686,0.2532753,0.27199999999999996,BA,synthetic
BA-850-m4,train,1,5,3,3,-0.99245733,0.24249142,0.21564705882352941,BA,synthetic
BA-850-m4,train,1,6,3,3,-0.9513693,0.23189603,0.28400000000000003,BA,synthetic
BA-850-m4,train,1,7,3,3,-0.9102117,0.22125398,0.2911764705882353,BA,synthetic
