network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-800-m3,train,0,0,6,1,-0.035295423,0.20575413,0.105625,BA,synthetic
BA-800-m3,train,0,1,6,1,-0.03377364,0.19211222,0.167625,BA,synthetic
BA-800-m3,train,0,2,6,1,-0.031598426,0.17828883,0.18587499999999998,BA,synthetic
BA-800-m3,train,0,3,6,1,-0.029306814,0.16288349,0.225625,BA,synthetic
BA-800-m3,train,0,4,6,1,-0.026239147,0.14329831,0.229875,BA,synthetic
BA-800-m3,train,0,5,6,6,-0.022012224,0.12514262,0.266375,BA,synthetic
BA-800-m3,train,0,6,1,2,-0.016372904,0.10498125,0.31837499999999996,BA,synthetic
BA-800-m3,train,0,7,1,2,-0.010152757,0.07954559,0.2645,BA,synthetic
BA-800-m3,train,0,8,1,5,-0.0031924397,0.043354888,0.3065,BA,synthetic
BA-800-m3,train,0,9,1,5,0.0042892843,0.0023118928,0.285625,BA,synthetic
BA-800-m3,train,0,10,2,5,0.011966351,-0.04213336,0.27237500000000003,BA,synthetic
BA-800-m3,train,0,11,2,5,0.01935434,-0.089188114,0.268,BA,synthetic
BA-800-m3,train,0,12,6,5,0.028440986,-0.13673997,0.26137499999999997,BA,synthetic
BA-800-m3,train,0,13,6,0,0.038369503,-0.18282449,0.27787500000000004,BA,synthetic
BA-800-m3,train,0,14,6,0,0.04793956,-0.23009405,0.32775,BA,synthetic
BA-800-m3,train,0,15,1,5,0.058182374,-0.27776203,0.29625,BA,synthetic
BA-800-m3,train,0,16,1,5,0.071057886,-0.32380557,0.273375,BA,synthetic
BA-800-m3,train,0,17,1,5,0.08433919,-0.36989355,0.321625,BA,synthetic
BA-800-m3,train,0,18,1,5,0.098118104,-0.41660303,0.278875,BA,synthetic
BA-800-m3,train,0,19,1,5,0.113613784,-0.46272153,0.317375,BA,synthetic
BA-800-m3,train,0,20,1,0,0.13187595,-0.50503606,0.292875,BA,synthetic
BA-800-m3,train,0,21,1,0,0.15260783,-0.54694885,0.31074999999999997,BA,synthetic
BA-800-m3,train,0,22,3,6,0.17840734,-0.5866931,0.314125,BA,synthetic
BA-800-m3,train,0,23,3,6,0.20744279,-0.62014306,0.28825,BA,synthetic
BA-800-m3,train,0,24,3,6,0.23712182,-0.64943457,0.312125,BA,synthetic
BA-800-m3,train,0,25,2,6,0.26991695,-0.6775,0.316375,BA,synthetic
BA-800-m3,train,0,26,2,6,0.30211473,-0.70526373,0.308875,BA,synthetic
BA-800-m3,train,0,27,2,6,0.3330055,-0.7327761,0.31175,BA,synthetic
BA-800-m3,train,0,28,2,6,0.36095983,-0.76012814,0.312625,BA,synthetic
BA-800-m3,train,0,29,2,2,0.38589048,-0.78721595,0.3425,BA,synthetic
BA-800-m3,train,1,0,6,1,-0.035295427,0.20575413,0.07775,BA,synthetic
BA-800-m3,train,1,1,6,1,-0.03377364,0.19211222,0.1265,BA,synthetic
